"Name","Longitude","Latitude"
"Nightcliff Foreshore","130.85573645384","-12.375770206907"
"Nightcliff Pool","130.848446885367","-12.3768427197567"
"Wanguri Oval","130.887510257379","-12.3693578942885"
"Nakara Oval","130.876241651271","-12.3702390678639"
"Casuarina Pool","130.884364114002","-12.3742345230012"
"Jingili Oval","130.874628207377","-12.3884940935089"
"Wulagi Oval","130.896812050395","-12.3830396479892"
"Wagaman Oval","130.885739966376","-12.3812677682784"
"Moil Oval","130.8812694151","-12.390099130686"
"Malak Oval","130.902790843458","-12.3945056736367"
"Nightcliff Oval","130.851634888499","-12.3830119707043"
"Fannie Bay Oval","130.840232347998","-12.4220274356016"
"Dinah Beach Oval","130.847504556749","-12.4489834070626"
"Gardens Oval Two","130.833300522595","-12.4481095849661"
"Gardens Oval One","130.833912409943","-12.4462739554326"
"Kahlin Oval","130.82674602466","-12.4549861428062"
"Lake Alexander","130.831677904244","-12.4142971782918"
"East Point Reserve","130.825081334505","-12.4093960068618"
"Mindil Beach","130.832613916534","-12.445714362871"
