"DisplayName","Filename","Instances"
"Public Parks","Parks","253"
"Playgrounds","Playgrounds","183"
"Playgrounds with Disabled Access","Playgrounds_Disabled.csv","3"
"Playground with Shade","Playgrounds_Shaded","21"
"WIFI Access Points","Wifi","21"
"BBQ Facilities","BBQ","27"
"Picnic Tables","PicnicTables","12"
"Drinking Fountains","Fountains","25"
"Toilets - Daytime Hours","ToiletsDaytime","19"
"Toilets - 24 hours","Toilets24","6"
"Showers","Showers","19"
"Baby Changing Room","BabyChangeRoom","12"
"Share Paths - Cyclists and Pedestrians","SharedPaths","47"
"Bike Racks","BikeRacks","9"
"Exercise Equipments","ExerciseEquipment","6"
"Soccer Field","SoccerFields","6"
"AFL Fields","AFLfield","9"
"Basketball Courts","BasketballCourts","4"
"Tennis Courts","TennisCourts","4"
"Cricket Fields","CricketField","8"
"Velodrome","Velodrome","1"
"Swimming Pools","SwimmingPools","3"
"Skateboard Parks","SkateboardPark","2"
"Watercraft Facilities","Watercraft","1"
"Rugby Field","RugbyField","1"
"Gaelic Football Fields","GaelicFootballField","2"
"Softball Fields","SoftballField","2"
"Metered Parking","Parking_Metered","289"
